dataset,column,dtype,missing_count,unique_count
beneficiary,BeneID,str,0,138556
beneficiary,DOB,str,0,900
beneficiary,DOD,str,137135,11
beneficiary,Gender,int64,0,2
beneficiary,Race,int64,0,4
beneficiary,RenalDiseaseIndicator,str,0,2
beneficiary,State,int64,0,52
beneficiary,County,int64,0,314
beneficiary,NoOfMonths_PartACov,int64,0,13
beneficiary,NoOfMonths_PartBCov,int64,0,13
beneficiary,ChronicCond_Alzheimer,int64,0,2
beneficiary,ChronicCond_Heartfailure,int64,0,2
beneficiary,ChronicCond_KidneyDisease,int64,0,2
beneficiary,ChronicCond_Cancer,int64,0,2
beneficiary,ChronicCond_ObstrPulmonary,int64,0,2
beneficiary,ChronicCond_Depression,int64,0,2
beneficiary,ChronicCond_Diabetes,int64,0,2
beneficiary,ChronicCond_IschemicHeart,int64,0,2
beneficiary,ChronicCond_Osteoporasis,int64,0,2
beneficiary,ChronicCond_rheumatoidarthritis,int64,0,2
beneficiary,ChronicCond_stroke,int64,0,2
beneficiary,IPAnnualReimbursementAmt,int64,0,3004
beneficiary,IPAnnualDeductibleAmt,int64,0,147
beneficiary,OPAnnualReimbursementAmt,int64,0,2078
beneficiary,OPAnnualDeductibleAmt,int64,0,789
inpatient,BeneID,str,0,31289
inpatient,ClaimID,str,0,40474
inpatient,ClaimStartDt,str,0,398
inpatient,ClaimEndDt,str,0,365
inpatient,Provider,str,0,2092
inpatient,InscClaimAmtReimbursed,int64,0,146
inpatient,AttendingPhysician,str,112,11604
inpatient,OperatingPhysician,str,16644,8287
inpatient,OtherPhysician,str,35784,2877
inpatient,AdmissionDt,str,0,398
inpatient,ClmAdmitDiagnosisCode,str,0,1928
inpatient,DeductibleAmtPaid,float64,899,1
inpatient,DischargeDt,str,0,365
inpatient,DiagnosisGroupCode,str,0,736
inpatient,ClmDiagnosisCode_1,str,0,2254
inpatient,ClmDiagnosisCode_2,str,226,2439
inpatient,ClmDiagnosisCode_3,str,676,2427
inpatient,ClmDiagnosisCode_4,str,1534,2441
inpatient,ClmDiagnosisCode_5,str,2894,2374
inpatient,ClmDiagnosisCode_6,str,4838,2358
inpatient,ClmDiagnosisCode_7,str,7258,2310
inpatient,ClmDiagnosisCode_8,str,9942,2243
inpatient,ClmDiagnosisCode_9,str,13497,2094
inpatient,ClmDiagnosisCode_10,str,36547,952
inpatient,ClmProcedureCode_1,float64,17326,1117
inpatient,ClmProcedureCode_2,float64,35020,297
inpatient,ClmProcedureCode_3,float64,39509,154
inpatient,ClmProcedureCode_4,float64,40358,48
inpatient,ClmProcedureCode_5,float64,40465,6
inpatient,ClmProcedureCode_6,float64,40474,0
outpatient,BeneID,str,0,133980
outpatient,ClaimID,str,0,517737
outpatient,ClaimStartDt,str,0,385
outpatient,ClaimEndDt,str,0,366
outpatient,Provider,str,0,5012
outpatient,InscClaimAmtReimbursed,int64,0,342
outpatient,AttendingPhysician,str,1396,74109
outpatient,OperatingPhysician,str,427120,28532
outpatient,OtherPhysician,str,322691,44388
outpatient,ClmDiagnosisCode_1,str,10453,10354
outpatient,ClmDiagnosisCode_2,str,195380,5056
outpatient,ClmDiagnosisCode_3,str,314480,4448
outpatient,ClmDiagnosisCode_4,str,392141,3925
outpatient,ClmDiagnosisCode_5,str,443393,3412
outpatient,ClmDiagnosisCode_6,str,468981,2968
outpatient,ClmDiagnosisCode_7,str,484776,2635
outpatient,ClmDiagnosisCode_8,str,494825,2260
outpatient,ClmDiagnosisCode_9,str,502899,1894
outpatient,ClmDiagnosisCode_10,str,516654,495
outpatient,ClmProcedureCode_1,float64,517575,80
outpatient,ClmProcedureCode_2,float64,517701,22
outpatient,ClmProcedureCode_3,float64,517733,4
outpatient,ClmProcedureCode_4,float64,517735,2
outpatient,ClmProcedureCode_5,float64,517737,0
outpatient,ClmProcedureCode_6,float64,517737,0
outpatient,DeductibleAmtPaid,int64,0,16
outpatient,ClmAdmitDiagnosisCode,str,412312,3715
provider_labels,Provider,str,0,5410
provider_labels,PotentialFraud,str,0,2
