Provider,claims,fraud,total_reimbursement
PRV51459,8240,1,2321890.0
PRV53797,4739,1,1303600.0
PRV51574,4444,1,1281810.0
PRV53918,3588,1,1014510.0
PRV54895,3436,1,1057610.0
PRV55215,3393,1,2284560.0
PRV52064,2844,1,1119680.0
PRV56011,2833,1,741640.0
PRV55004,2399,1,703610.0
PRV57306,2315,1,629460.0
PRV56560,2313,1,3212000.0
PRV52030,2275,1,681360.0
PRV52649,2156,1,602190.0
PRV54772,2115,1,1751320.0
PRV52628,2098,1,604120.0
PRV51369,2083,1,601910.0
PRV51347,2067,1,596900.0
PRV55039,2058,1,816200.0
PRV57103,2049,1,892770.0
PRV52019,1961,1,5996050.0
